屌丝	Loser
在吗	Are you there
在么	Are you there
一分钱，一分货	You get what you pay for
哦哈呦	Oh ha yo
哦哈哟	Oh ha yo
康乾盛世	Kang-Qian prosperity
贞观之治	Control by Zhen Guan
一带一路	Belt and Road Initiative
矮挫穷	Short, poor and ugly-looking men
高富帅	Tall, rich and handsome men
白富美	Fair-skinned, rich and beautiful ladies
逆袭	Counterattack
啊	Ah
嗯	Well
你好	Hello
你好吗	How are you
你好么	How are you
千万	Ten million
万万	Hundred million
千万亿	Quadrillion
基友	Buddies
老师好	Hello Teacher
跪了	Give me a break
毁三观	Subvert Three Essential Values
躺枪	Get shot even when lying down
坑爹	The reverse of one's expectation
肿么了	What's up
围观	Circusee
尼玛	Shit
次奥	Fuck
挽尊	Save one's face
你妹	Damn it
有木有	Is there any
绿茶婊	Bitch
1314	Forever and ever
吐槽	Spitslot
太监	Eunuch
甄嬛体	Zhen Huan genre
查水表	Check water watch
卖萌	Act cute
囧	Embarrassed
碉堡了	Holy crap
打酱油	Just passing by
躺着也中枪	To be swept up in
怪蜀黍	Child molester
意淫	psycholagny
YY	psycholagny
yy	psycholagny
虽不明但觉厉	Althought I don't get what you say, I think it must be awesome
不明觉厉	Althought I don't get what you say, I think it must be awesome
亲	Sweety
重口味	Hardcore
我擦	Shit
你懂的	You know what I mean
槑	Slow-witted
宅男	Indoorsman
腐女	Fujoshi
接盘侠	Green daddy
喜当爹	Green daddy
FB	Corruption
走你	You go ahead
蛋疼	Ballache
火钳刘明	Leave a comment before it becomes a hot tweet
男默女泪	Men keep silent and women burst into tears
啊痛悟蜡	Comprehend sth. with much pain
经拿滚	Get out of here with your awards
来信砍	Come here and I swear I will kill you
冷无缺	Cold-blooded man without any goals
请允悲	I try to feel sorry for you but I can't help making laugh
人艰不拆	Life is already hard, so don't expose the truth anymore
喜大奔普	News so exhilarating that everyone is celebrating and spreading it around the world
细软跑	Take your valuables and run away
醒工砖	Wake up and get ready to work
秀下限	Show low IQ and EQ
战五渣	Low combat effectiveness
注定孤独一生	Forever alone
碎一地	Ruined into fragements
4B青年	Peacockish, poor, and silly youth
我和小伙伴们都惊呆了	My companions and I are terriblly shocked
我和我的小伙伴们都惊呆了	My companions and I are terriblly shocked
土豪	Local tyrant
女汉子	Tough girl
女汉纸	Tough girl
查岗	Ask somebody's location and make sure he didn't cheat
待我长发及腰	When my hair is long enough to reach my waist
元芳体	Yuan Fang genre
臣妾做不到体	I truly cannot bear it genre
加油吧学弟体	Come on boy genre
禅师体	Chan master genre
包大人很忙	Bao Zheng is busy
十动然拒体	Fully moved then reject genre
面试体	Interview genre
暴打分手体	Beat then breakup genre
玛雅体	Maya genre
华妃体	Concubine Hua genre
末日生卒年月体	Doomsday genre
切糕体	XinJiang nut-cake genre
陈欧体	Chen'ou genre
花朵体	Child as flower genre
1999战记创作体	War record about 1999 doomsday battle genre
哎呦体	I.O.I.O genre
王蓉体	Chinglish genre
航母style	Aircraft Carrier Style
一字马女生	Girls who good at splits
杜甫很忙	Du fu is busy in textbook illustrations
屌丝对话体	Diaosi dialogue genre
江南style	Gangnam style
中国式洗礼	Chinese baptism
顶层设计	Measures from top leaders
能见度	Visibility
雾霾	Smog
废改发	Elimination, reform and developemnt
价值观	Values
反恐独	Attack terroism and acts that split China
美日中韩朝	Tensions among US, Japan, China, South Korea and North Korea
打老虎	Cracking down tigers
除夕查岗	To supervise someone's work on Spring Festival eve
马航失联	Loss of communication of the Malaysian flight MH370
